Order,Entity Name,Attribute name,Storage Class,C Variable Name,HighEst Kind,HighEst Label,Description,Display Size,Format,,Attribute name
,Equipment,Code,String,szCode,EQUIPMENT_KIND,ECODE,,5,S
,Equipment List,List-Total,Number,szListTotal,EQUIPMENT_KIND,ETOTALCOST,List-Total,,"N$,.."
,Equipment List,Reserved,,,EQUIPMENT_KIND,EEQUIPMENT,Reserved,,S
,Equipment List,Reserved,,,EQUIPMENT_KIND,EUNITSPERDAY,Reserved,,n..
,Equipment List,Infinity-Count,Number,szNumInfinity,EQUIPMENT_KIND,EQUANTITY,Infinity-Count,,n
,Equipment List,Reserved,,,EQUIPMENT_KIND,ERATE,Reserved,,"N$,.."
,Equipment List,Reserved,,,EQUIPMENT_KIND,EUNITS,Reserved,,C
,Equipment List,Reserved,,,EQUIPMENT_KIND,ECODE,Reserved,,S
,Equipment Rate,Code,String,szCode,EQUIPCAT_KIND,EQUIPCAT_CODE,,5,C
,Equipment Rate,Equipment,String,szEquipment,EQUIPCAT_KIND,EQUIPCAT_EQUIP,,23,s
,Equipment Rate,Units,String,szUnits,EQUIPCAT_KIND,EQUIPCAT_UNITS,,4,c
,Equipment Rate,Rate,Number,szRate,EQUIPCAT_KIND,EQUIPCAT_RATE,,10,"n$,.."
,Equipment Rate,Units-Per-Day,Number,szUnitsPerDay,EQUIPCAT_KIND,EQUIPCAT_UNITSPERDAY,,9,n..
,Equipment Rate Catalog,Reserved,,,EQUIPCAT_KIND,EQUIPCAT_CODE,Reserved,,C
,Equipment Rate Catalog,Reserved,,,EQUIPCAT_KIND,EQUIPCAT_EQUIP,Reserved,,s
,Equipment Rate Catalog,Reserved,,,EQUIPCAT_KIND,EQUIPCAT_UNITS,Reserved,,c
,Equipment Rate Catalog,Reserved,,,EQUIPCAT_KIND,EQUIPCAT_RATE,Reserved,,"n$,.."
,Equipment Rate Catalog,Reserved,,,EQUIPCAT_KIND,EQUIPCAT_UNITSPERDAY,Reserved,,n..
,Item,Extended-Amount,Number,szCost,ITEMLIST_KIND,PCOST,The price of one unit of the item.,16,n$
,Item,Item-Code,String,szItemCode,ITEMLIST_KIND,PITEM,The code of the item.,12,Sn
,Item,Item-Description,String,szDescription,ITEMLIST_KIND,PDESCRIPTION,The description of the item,49,S
,Item,Item-Units,String,szUnits,ITEMLIST_KIND,PUNITS,The units of the item,4,C
,Item,Item-Quantity,Number,szQuantity,ITEMLIST_KIND,PQUANTITY,The number of the item needed.,16,"n,...."
,Item,Extended-Amount,Number,szExtendedAmount,ITEMLIST_KIND,PTOTAL,The total of the quantity times the unit price,16,"N$,.."
,Item,Active-Price-Basis,Link,hActivePriceBasis,ITEMLIST_KIND,ACTIVE_PR_BAS_LINK,A handle to the active price basis.  Null if the active price basis is an ad-hoc price.,,
,Item,Cost-Sheets,Link,hCostSheets,ITEMLIST_KIND,COSTSHEET_LINK,A handle to an indirect link containing handles to cost sheets.,,
,Item,Bid-Histories,Link,hBidHistories,ITEMLIST_KIND,BIDHISTORY_LINK,A handle to an indirect link containing handles to bid histories.,,
,Item,Ref-Prices,Link,hRefPrices,ITEMLIST_KIND,REFERENCEPRICE_LINK,A handle to an indirect link containing handles to reference prices.,,
,Item,Asm-Item-Lists,Link,hAsmItemLists,ITEMLIST_KIND,ASSEMBLY_ITEM_LINK,A handle to an indirect link containing handles to assembly item lists.,,
,Item List,Reserved,,,ITEMLIST_KIND,PCOST,Reserved,,n$
,Item List,Reserved,,,ITEMLIST_KIND,PITEM,Reserved,,Sn
,Item List,Flags,String,szFlags,ITEMLIST_KIND,PDESCRIPTION,"Used to denote Assembly Alternate, assembly item list",,S
,Item List,Reserved,,,ITEMLIST_KIND,PUNITS,Reserved,,C
,Item List,Infinity-Count,Number,szNumInfinities,ITEMLIST_KIND,PQUANTITY,Infinity-Count,,"n,...."
,Item List,List-Total,Number,szListTotal,ITEMLIST_KIND,PTOTAL,List-Total,,"N$,.."
,Item List,Reserved,Link,,ITEMLIST_KIND,ACTIVE_PR_BAS_LINK,Reserved,,
,Item List,Reserved,Link,,ITEMLIST_KIND,COSTSHEET_LINK,Reserved,,
,Item List,Reserved,Link,,ITEMLIST_KIND,BIDHISTORY_LINK,Reserved,,
,Item List,Reserved,Link,,ITEMLIST_KIND,REFERENCEPRICE_LINK,Reserved,,
,Item List,Reserved,Link,,ITEMLIST_KIND,ASSEMBLY_ITEM_LINK,Reserved,,
,Labor List,List-Total,Number,szListTotal,LABOR_KIND,LTOTALCOST,List-Total,,"N$,.."
,Labor List,Reserved,,,LABOR_KIND,LLABORER,Reserved,,S
,Labor List,Reserved,,,LABOR_KIND,LUNITSPERDAY,Reserved,,n..
,Labor List,Infinity-Count,Number,szNumInfinities,LABOR_KIND,LQUANTITY,Infinity-Count,,n
,Labor List,Reserved,,,LABOR_KIND,LRATE,Reserved,,"N$,.."
,Labor List,Reserved,,,LABOR_KIND,LUNITS,Reserved,,C
,Labor List,Reserved,,,LABOR_KIND,LCODE,Reserved,,S
,Labor Rate,Code,String,szCode,LABCAT_KIND,LABCAT_CODE,,5,C
,Labor Rate,Laborer,String,szLaborer,LABCAT_KIND,LABCAT_LABORER,,23,s
,Labor Rate,Units,String,szUnits,LABCAT_KIND,LABCAT_UNITS,,4,c
,Labor Rate,Rate,Number,szRate,LABCAT_KIND,LABCAT_RATE,,10,"n$,.."
,Labor Rate,Units-Per-Day,Number,szUnitsPerDay,LABCAT_KIND,LABCAT_UNITSPERDAY,,9,n..
